timestamp,custom_mode,type,autopilot,base_mode,system_status,mavlink_version
1683558011.9579442,0,1,3,81,3,3
1683558012.9568172,0,1,3,81,3,3
1683558013.9562013,0,1,3,81,3,3
1683558014.9531264,0,1,3,81,3,3
1683558015.952816,0,1,3,81,3,3
1683558016.9522889,0,1,3,81,3,3
1683558017.9508414,0,1,3,81,3,3
1683558018.9504762,0,1,3,81,3,3
1683558019.9499393,0,1,3,81,3,3
1683558020.9496274,0,1,3,81,3,3
1683558021.9493809,0,1,3,81,3,3
1683558022.948966,0,1,3,81,3,3
1683558023.9508197,0,1,3,81,3,3
1683558024.9513218,0,1,3,81,3,3
1683558025.9474993,0,1,3,81,3,3
1683558026.9471633,0,1,3,81,3,3
1683558027.9483514,0,1,3,81,3,3
1683558028.948541,0,1,3,81,3,3
1683558029.94703,0,1,3,81,3,3
1683558030.94719,0,1,3,81,3,3
1683558031.9467914,0,1,3,81,3,3
1683558032.946546,0,1,3,81,3,3
1683558033.94838,0,1,3,81,3,3
1683558034.9475734,0,1,3,81,3,3
1683558035.9441204,0,1,3,81,3,3
1683558036.94591,0,1,3,81,3,3
1683558037.9464195,0,1,3,81,3,3
1683558038.9459608,0,1,3,81,3,3
1683558039.9448743,0,1,3,81,3,3
1683558040.943285,0,1,3,81,3,3
1683558041.9450407,0,1,3,81,3,3
1683558042.9462137,0,1,3,81,3,3
1683558043.9417536,0,1,3,81,3,3
1683558044.9456291,0,1,3,81,3,3
1683558045.9432395,0,1,3,81,3,3
1683558046.9432847,0,1,3,81,3,3
1683558047.944578,0,1,3,81,3,3
1683558048.9405217,0,1,3,81,3,3
1683558049.9444764,0,1,3,81,3,3
1683558050.9428291,0,1,3,81,3,3
1683558051.9425175,0,1,3,81,3,3
1683558052.9408603,0,1,3,81,3,3
1683558053.9400692,0,1,3,81,3,3
1683558054.938133,0,1,3,81,3,3
1683558055.9414198,0,1,3,81,3,3
1683558056.9421575,0,1,3,81,3,3
1683558057.938757,0,1,3,81,3,3
1683558058.938044,0,1,3,81,3,3
1683558059.940593,0,1,3,81,3,3
1683558060.9369547,0,1,3,81,3,3
1683558061.9368124,0,1,3,81,3,3
1683558062.9391646,0,1,3,81,3,3
1683558063.9368277,0,1,3,81,3,3
1683558064.9381013,0,1,3,81,3,3
1683558065.934325,0,1,3,81,3,3
1683558066.935405,0,1,3,81,3,3
1683558067.9355595,0,1,3,81,3,3
1683558068.936811,0,1,3,81,3,3
1683558069.9379132,0,1,3,81,3,3
1683558070.934114,0,1,3,81,3,3
1683558071.934405,0,1,3,81,3,3
1683558072.9362903,0,1,3,81,3,3
1683558073.9341872,0,1,3,81,3,3
1683558074.9362345,0,1,3,81,3,3
1683558075.9310997,0,1,3,81,3,3
1683558076.9319615,0,1,3,81,3,3
1683558077.9323778,0,1,3,81,3,3
1683558078.9332433,0,1,3,81,3,3
1683558079.932961,0,1,3,81,3,3
1683558080.9299588,0,1,3,81,3,3
1683558081.9304743,0,1,3,81,3,3
1683558082.9307559,0,1,3,81,3,3
1683558083.9305658,0,1,3,81,3,3
1683558084.9322445,0,1,3,81,3,3
1683558085.930564,0,1,3,81,3,3
1683558086.9272864,0,1,3,81,3,3
1683558087.9273717,0,1,3,81,3,3
1683558088.9297144,0,1,3,81,3,3
1683558089.930854,0,1,3,81,3,3
1683558090.926426,0,1,3,81,3,3
1683558091.9269552,0,1,3,81,3,3
1683558092.9298472,0,1,3,81,3,3
1683558093.92967,0,1,3,81,3,3
1683558094.929783,0,1,3,81,3,3
1683558095.9295132,0,1,3,81,3,3
1683558096.9248712,0,1,3,81,3,3
1683558097.9260767,0,1,3,81,3,3
1683558098.9272912,0,1,3,81,3,3
1683558099.9266286,0,1,3,81,3,3
1683558100.9278421,0,1,3,81,3,3
1683558101.9274557,0,1,3,81,3,3
1683558102.9224675,0,1,3,81,3,3
1683558103.9218128,0,1,3,81,3,3
1683558104.9222326,0,1,3,81,3,3
1683558105.9239833,0,1,3,81,3,3
1683558106.9236276,0,1,3,81,3,3
1683558107.92329,0,1,3,81,3,3
1683558108.9230368,0,1,3,81,3,3
1683558109.9227374,0,1,3,81,3,3
1683558110.922351,0,1,3,81,3,3
1683558111.9222708,0,1,3,81,3,3
1683558112.921704,0,1,3,81,3,3
1683558113.9234638,0,1,3,81,3,3
