timestamp,time_usec,lat,lon,alt,eph,epv,vel,cog,fix_type,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw
1683558011.9596426,1408226000,-353632621,1491652374,584380,121,200,0,22015,6,10,584380,300,300,40,0,0
1683558012.95736,1409226000,-353632621,1491652374,584380,121,200,0,27184,6,10,584380,300,300,40,0,0
1683558013.9567692,1410226000,-353632621,1491652374,584380,121,200,0,1828,6,10,584380,300,300,40,0,0
1683558014.9537241,1411226000,-353632621,1491652374,584380,121,200,0,7594,6,10,584380,300,300,40,0,0
1683558015.9533174,1412226000,-353632621,1491652374,584380,121,200,0,20419,6,10,584380,300,300,40,0,0
1683558016.952803,1413226000,-353632621,1491652374,584380,121,200,0,32926,6,10,584380,300,300,40,0,0
1683558017.9512975,1414226000,-353632621,1491652374,584380,121,200,0,28175,6,10,584380,300,300,40,0,0
1683558018.9512858,1415226000,-353632621,1491652374,584380,121,200,0,1341,6,10,584380,300,300,40,0,0
1683558019.950469,1416226000,-353632621,1491652374,584380,121,200,0,33369,6,10,584380,300,300,40,0,0
1683558020.9501858,1417226000,-353632621,1491652374,584380,121,200,0,6445,6,10,584380,300,300,40,0,0
1683558021.9499369,1418226000,-353632621,1491652374,584380,121,200,0,25022,6,10,584380,300,300,40,0,0
1683558022.9495194,1419226000,-353632621,1491652374,584380,121,200,0,28443,6,10,584380,300,300,40,0,0
1683558023.9513829,1420226000,-353632621,1491652374,584380,121,200,0,34529,6,10,584380,300,300,40,0,0
1683558024.9521043,1421226000,-353632621,1491652374,584380,121,200,0,5439,6,10,584380,300,300,40,0,0
1683558025.9480486,1422226000,-353632621,1491652374,584380,121,200,0,16523,6,10,584380,300,300,40,0,0
1683558026.9476647,1423226000,-353632621,1491652374,584380,121,200,0,2486,6,10,584380,300,300,40,0,0
1683558027.9495168,1424226000,-353632621,1491652374,584380,121,200,0,23603,6,10,584380,300,300,40,0,0
1683558028.9491065,1425226000,-353632621,1491652374,584380,121,200,0,14986,6,10,584380,300,300,40,0,0
1683558029.9475334,1426226000,-353632621,1491652374,584380,121,200,0,30761,6,10,584380,300,300,40,0,0
1683558030.9477391,1427226000,-353632621,1491652374,584380,121,200,0,34080,6,10,584380,300,300,40,0,0
1683558031.9473596,1428226000,-353632621,1491652374,584380,121,200,0,5094,6,10,584380,300,300,40,0,0
1683558032.9470975,1429226000,-353632621,1491652374,584380,121,200,0,6592,6,10,584380,300,300,40,0,0
1683558033.9489532,1430226000,-353632621,1491652374,584380,121,200,0,10755,6,10,584380,300,300,40,0,0
1683558034.948181,1431226000,-353632621,1491652374,584380,121,200,0,27662,6,10,584380,300,300,40,0,0
1683558035.9446783,1432226000,-353632621,1491652374,584380,121,200,0,9648,6,10,584380,300,300,40,0,0
1683558036.946478,1433226000,-353632621,1491652374,584380,121,200,0,7513,6,10,584380,300,300,40,0,0
1683558037.946926,1434226000,-353632621,1491652374,584380,121,200,0,19970,6,10,584380,300,300,40,0,0
1683558038.9465253,1435226000,-353632621,1491652374,584380,121,200,0,757,6,10,584380,300,300,40,0,0
1683558039.9454343,1436226000,-353632621,1491652374,584380,121,200,0,22377,6,10,584380,300,300,40,0,0
1683558040.9438288,1437226000,-353632621,1491652374,584380,121,200,0,34075,6,10,584380,300,300,40,0,0
1683558041.9455912,1438226000,-353632621,1491652374,584380,121,200,0,19992,6,10,584380,300,300,40,0,0
1683558042.9466686,1439226000,-353632621,1491652374,584380,121,200,0,28994,6,10,584380,300,300,40,0,0
1683558043.9422204,1440226000,-353632621,1491652374,584380,121,200,0,10200,6,10,584380,300,300,40,0,0
1683558044.9462085,1441226000,-353632621,1491652374,584380,121,200,0,32921,6,10,584380,300,300,40,0,0
1683558045.9439158,1442226000,-353632621,1491652374,584380,121,200,0,3948,6,10,584380,300,300,40,0,0
1683558046.943869,1443226000,-353632621,1491652374,584380,121,200,0,24266,6,10,584380,300,300,40,0,0
1683558047.945211,1444226000,-353632621,1491652374,584380,121,200,0,28469,6,10,584380,300,300,40,0,0
1683558048.941095,1445226000,-353632621,1491652374,584380,121,200,0,6063,6,10,584380,300,300,40,0,0
1683558049.945098,1446226000,-353632621,1491652374,584380,121,200,0,7985,6,10,584380,300,300,40,0,0
1683558050.943324,1447226000,-353632621,1491652374,584380,121,200,0,17509,6,10,584380,300,300,40,0,0
1683558051.94318,1448226000,-353632621,1491652374,584380,121,200,0,25282,6,10,584380,300,300,40,0,0
1683558052.9414287,1449226000,-353632621,1491652374,584380,121,200,0,24780,6,10,584380,300,300,40,0,0
1683558053.940693,1450226000,-353632621,1491652374,584380,121,200,0,28408,6,10,584380,300,300,40,0,0
1683558054.9385962,1451226000,-353632621,1491652374,584380,121,200,0,19594,6,10,584380,300,300,40,0,0
1683558055.942034,1452226000,-353632621,1491652374,584380,121,200,0,27393,6,10,584380,300,300,40,0,0
1683558056.9427185,1453226000,-353632621,1491652374,584380,121,200,0,3881,6,10,584380,300,300,40,0,0
1683558057.9393172,1454226000,-353632621,1491652374,584380,121,200,0,19903,6,10,584380,300,300,40,0,0
1683558058.9386413,1455226000,-353632621,1491652374,584380,121,200,0,5548,6,10,584380,300,300,40,0,0
1683558059.9412236,1456226000,-353632621,1491652374,584380,121,200,0,23577,6,10,584380,300,300,40,0,0
1683558060.9375353,1457226000,-353632621,1491652374,584380,121,200,0,27493,6,10,584380,300,300,40,0,0
1683558061.937423,1458226000,-353632621,1491652374,584380,121,200,0,5155,6,10,584380,300,300,40,0,0
1683558062.9397008,1459226000,-353632621,1491652374,584380,121,200,0,33137,6,10,584380,300,300,40,0,0
1683558063.9376469,1460226000,-353632621,1491652374,584380,121,200,0,15057,6,10,584380,300,300,40,0,0
1683558064.9386902,1461226000,-353632621,1491652374,584380,121,200,0,17830,6,10,584380,300,300,40,0,0
1683558065.9349787,1462226000,-353632621,1491652374,584380,121,200,0,30109,6,10,584380,300,300,40,0,0
1683558066.9359426,1463226000,-353632621,1491652374,584380,121,200,0,11846,6,10,584380,300,300,40,0,0
1683558067.936239,1464226000,-353632621,1491652374,584380,121,200,0,21309,6,10,584380,300,300,40,0,0
1683558068.9373806,1465226000,-353632621,1491652374,584380,121,200,0,24044,6,10,584380,300,300,40,0,0
1683558069.938608,1466226000,-353632621,1491652374,584380,121,200,0,12224,6,10,584380,300,300,40,0,0
1683558070.9346583,1467226000,-353632621,1491652374,584380,121,200,0,11597,6,10,584380,300,300,40,0,0
1683558071.9350557,1468226000,-353632621,1491652374,584380,121,200,0,25380,6,10,584380,300,300,40,0,0
1683558072.936789,1469226000,-353632621,1491652374,584380,121,200,0,14036,6,10,584380,300,300,40,0,0
1683558073.9349072,1470226000,-353632621,1491652374,584380,121,200,0,1326,6,10,584380,300,300,40,0,0
1683558074.9368057,1471226000,-353632621,1491652374,584380,121,200,0,11180,6,10,584380,300,300,40,0,0
1683558075.9317882,1472226000,-353632621,1491652374,584380,121,200,0,8450,6,10,584380,300,300,40,0,0
1683558076.932464,1473226000,-353632621,1491652374,584380,121,200,0,12932,6,10,584380,300,300,40,0,0
1683558077.9330406,1474226000,-353632621,1491652374,584380,121,200,0,31557,6,10,584380,300,300,40,0,0
1683558078.9340024,1475226000,-353632621,1491652374,584380,121,200,0,10459,6,10,584380,300,300,40,0,0
1683558079.9336753,1476226000,-353632621,1491652374,584380,121,200,0,3082,6,10,584380,300,300,40,0,0
1683558080.9304705,1477226000,-353632621,1491652374,584380,121,200,0,26355,6,10,584380,300,300,40,0,0
1683558081.9309902,1478226000,-353632621,1491652374,584380,121,200,0,28523,6,10,584380,300,300,40,0,0
1683558082.9312503,1479226000,-353632621,1491652374,584380,121,200,0,14384,6,10,584380,300,300,40,0,0
1683558083.931214,1480226000,-353632621,1491652374,584380,121,200,0,10859,6,10,584380,300,300,40,0,0
1683558084.9328027,1481226000,-353632621,1491652374,584380,121,200,0,30472,6,10,584380,300,300,40,0,0
1683558085.9310899,1482226000,-353632621,1491652374,584380,121,200,0,19316,6,10,584380,300,300,40,0,0
1683558086.9280763,1483226000,-353632621,1491652374,584380,121,200,0,35742,6,10,584380,300,300,40,0,0
1683558087.9279108,1484226000,-353632621,1491652374,584380,121,200,0,10375,6,10,584380,300,300,40,0,0
1683558088.9303336,1485226000,-353632621,1491652374,584380,121,200,0,10128,6,10,584380,300,300,40,0,0
1683558089.9314814,1486226000,-353632621,1491652374,584380,121,200,0,1500,6,10,584380,300,300,40,0,0
1683558090.9269242,1487226000,-353632621,1491652374,584380,121,200,0,30525,6,10,584380,300,300,40,0,0
1683558091.9274664,1488226000,-353632621,1491652374,584380,121,200,0,12826,6,10,584380,300,300,40,0,0
1683558092.9303253,1489226000,-353632621,1491652374,584380,121,200,0,3560,6,10,584380,300,300,40,0,0
1683558093.930325,1490226000,-353632621,1491652374,584380,121,200,0,23832,6,10,584380,300,300,40,0,0
1683558094.930299,1491226000,-353632621,1491652374,584380,121,200,0,3565,6,10,584380,300,300,40,0,0
1683558095.9301403,1492226000,-353632621,1491652374,584380,121,200,0,10879,6,10,584380,300,300,40,0,0
1683558096.9253807,1493226000,-353632621,1491652374,584380,121,200,0,33897,6,10,584380,300,300,40,0,0
1683558097.926613,1494226000,-353632621,1491652374,584380,121,200,0,24407,6,10,584380,300,300,40,0,0
1683558098.9278805,1495226000,-353632621,1491652374,584380,121,200,0,27890,6,10,584380,300,300,40,0,0
1683558099.9271305,1496226000,-353632621,1491652374,584380,121,200,0,8098,6,10,584380,300,300,40,0,0
1683558100.9284706,1497226000,-353632621,1491652374,584380,121,200,0,28114,6,10,584380,300,300,40,0,0
1683558101.9279766,1498226000,-353632621,1491652374,584380,121,200,0,10654,6,10,584380,300,300,40,0,0
1683558102.9231756,1499226000,-353632621,1491652374,584380,121,200,0,25778,6,10,584380,300,300,40,0,0
1683558103.9224255,1500226000,-353632621,1491652374,584380,121,200,0,8342,6,10,584380,300,300,40,0,0
1683558104.9227989,1501226000,-353632621,1491652374,584380,121,200,0,20449,6,10,584380,300,300,40,0,0
1683558105.924565,1502226000,-353632621,1491652374,584380,121,200,0,23024,6,10,584380,300,300,40,0,0
1683558106.9241333,1503226000,-353632621,1491652374,584380,121,200,0,1452,6,10,584380,300,300,40,0,0
1683558107.9238265,1504226000,-353632621,1491652374,584380,121,200,0,2112,6,10,584380,300,300,40,0,0
1683558108.9235291,1505226000,-353632621,1491652374,584380,121,200,0,7168,6,10,584380,300,300,40,0,0
1683558109.9232056,1506226000,-353632621,1491652374,584380,121,200,0,5620,6,10,584380,300,300,40,0,0
